ELEMENT,MOL,RESIDUE_NUM,X,Y,Z
MW,HOH,15,8.685421255136047,11.864435922678032,5.260375807782192
OW,HOH,16,13.0713,9.64929,9.64929
HW1,HOH,16,12.53172243932473,10.18902823997884,9.07155703762009
HW2,HOH,16,13.792990966935356,10.222306977043763,9.908218397561065
MW,HOH,16,13.094612713199538,9.791736093170588,9.608479169326115
OW,HOH,17,13.10629,7.6719,7.64989
HW1,HOH,17,12.702632558273757,6.922330820707722,8.087424561942397
HW2,HOH,17,14.004255579213,7.3915463586965044,7.4730102675360115
MW,HOH,17,13.169567405425983,7.540057452944911,7.683256962973754
OW,HOH,18,12.04561,8.76156,5.30462
HW1,HOH,18,11.638679655777073,9.136955322170351,6.085464267343513
HW2,HOH,18,12.520587813467978,9.491360088482567,4.907110820277051
MW,HOH,18,12.054320897056083,8.903038346746202,5.353691516153263
OW,HOH,19,5.92487,11.38513,11.38513
HW1,HOH,19,5.400565048584927,12.154876944056529,11.606109829254327
HW2,HOH,19,5.285762276690386,10.73533276004971,11.092663537206422
MW,HOH,19,5.77593914106132,11.400485009318778,11.375978848420743
OW,HOH,20,5.32179,11.98821,8.7438
HW1,HOH,20,5.68371,12.070794690253196,7.861519120554127
HW2,HOH,20,4.41231,12.274013175836032,8.657834378487452
MW,HOH,20,5.251695713688601,12.035368091459025,8.619852765983287
OW,HOH,21,8.5662,11.98821,11.98821
HW1,HOH,21,8.82561575772717,12.173335258467455,11.08562594794712
HW2,HOH,21,8.23451598133532,12.823099532698569,12.318622762696624
MW,HOH,21,8.556948790683432,12.118784199747706,11.914965171715794
OW,HOH,22,5.26439,8.76156,12.00537
HW1,HOH,22,5.462224646072576,9.68606476040512,11.85573331164581
HW2,HOH,22,4.329844174383385,8.682133244061218,11.814212913906914
MW,HOH,22,5.170082080597982,8.869740180437814,11.96174428519386
OW,HOH,23,7.59104,7.62279,13.05734
HW1,HOH,23,7.120226567055951,7.366524887076934,13.850371852297226
HW2,HOH,23,7.113545341839583,8.38533183596705,12.730594202126076
MW,HOH,23,7.469645123001509,7.687599528778293,13.117030240707429
OW,HOH,24,9.65672,9.64144,13.0466
HW1,HOH,24,9.146816633308381,8.861238124512022,12.828638069329537
HW2,HOH,24,9.794008348378808,9.582019826130152,13.992038238298354
MW,HOH,24,9.609020782055763,9.533958247642172,13.139725744378023
OW,HOH,25,11.38513,5.92487,11.38513
HW1,HOH,25,11.71860002667913,6.222588247329295,12.231533988302154
HW2,HOH,25,11.911172538611378,6.397662771936091,10.740166427946287
MW,HOH,25,11.495157978376286,6.023504706681418,11.410916803658422
OW,HOH,26,11.98821,5.32179,8.7438
HW1,HOH,26,12.068579964649677,5.981923874926237,8.055329703068404
HW2,HOH,26,11.16408730756383,4.874236329866285,8.552114403614668
MW,HOH,26,11.893000677466668,5.349002830993613,8.631129426574581
OW,HOH,27,8.7438,5.32179,11.98821
HW1,HOH,27,8.984176110505867,5.355754318866327,11.062303719460756
HW2,HOH,27,7.968548803404653,5.879183249909934,12.05548728095223
MW,HOH,27,8.675329535712633,5.397490903532429,11.878295128693983
OW,HOH,28,12.04561,8.54844,12.00537
HW1,HOH,28,11.752557153868771,7.83668230434141,11.436373804015206
HW2,HOH,28,11.272022580795154,8.778137219498994,12.520180102855816
MW,HOH,28,11.90906717702218,8.486730442991927,11.998433526324277
OW,HOH,29,15.71263,15.71263,15.71263
HW1,HOH,29,16.081005410401147,14.927957074380199,16.11861791079421
HW2,HOH,29,14.771358953010466,15.646766153277262,15.873592718335978
MW,HOH,29,15.639292446530831,15.603751031413998,15.785206520788005
OW,HOH,30,16.31571,16.31571,13.0713
HW1,HOH,30,15.902076568395143,15.954870971995739,12.287123496700053
HW2,HOH,30,16.352306584224063,15.580557934990505,13.68321672287609
MW,HOH,30,16.267444734585695,16.1754099169617,13.049248669791497
OW,HOH,31,13.0713,16.31571,16.31571
HW1,HOH,31,12.416841219971422,15.624265921197123,16.216599237557443
HW2,HOH,31,13.464800692795546,16.152610040657073,17.17290447211923
MW,HOH,31,13.037894216374852,16.206318053043514,16.41275386111857
OW,HOH,32,16.37311,13.08906,16.33288
HW1,HOH,32,15.89058391253093,13.54760926814121,17.020726842835632
HW2,HOH,32,17.117729838559256,12.692834469931903,16.785409912764052
MW,HOH,32,16.40666116230065,13.097038190409258,16.478861983362314
OW,HOH,33,10.25237,10.25237,15.71263
HW1,HOH,33,10.997448263765529,10.77346452006919,15.413389170369403
HW2,HOH,33,9.701917544227907,10.15256550189792,14.935923683691795
MW,HOH,33,10.277284451583535,10.306300205675905,15.574895784017519
OW,HOH,34,13.97679,8.5662,13.97679
HW1,HOH,34,13.272077761452058,8.67427789517314,14.6154859204627
HW2,HOH,34,14.546168751047746,9.322695157054804,14.117344489817778
MW,HOH,34,13.959465680801447,8.676875781759053,14.076543454172102
OW,HOH,35,12.8937,9.64929,16.31571
HW1,HOH,35,12.78385215730501,10.583792230983592,16.14001355740099
HW2,HOH,35,12.373171408505051,9.490327350934361,17.10311764921248
MW,HOH,35,12.813004210932009,9.748568423370555,16.394016414742232
OW,HOH,36,8.53121,13.9656,13.98761
HW1,HOH,36,8.341837876421662,14.5751473511419,13.274285960290609
HW2,HOH,36,9.14981094128394,13.33987288336231,13.610732340875842
MW,HOH,36,8.586156467312003,13.963528794807669,13.84805102926581
OW,HOH,37,9.59189,12.87594,16.33288
HW1,HOH,37,9.09514915737494,12.361931762924973,15.696264235753487
HW2,HOH,37,10.118911468025349,12.230359774378433,16.803738347198827
MW,HOH,37,9.595766285386983,12.727498686340034,16.311661050754658
OW,HOH,38,15.71263,10.25237,10.25237
HW1,HOH,38,15.273644802831349,10.595266273469653,9.473939552363587
HW2,HOH,38,14.999404750808596,9.97864744278866,10.82910952846111
MW,HOH,38,15.565133161446878,10.261225070261952,10.226551128944623
OW,HOH,39,16.31571,9.64929,12.8937
HW1,HOH,39,16.667364870055653,10.530112614263343,13.022997286779077
HW2,HOH,39,15.922007228108944,9.673701966948501,12.021560073741028
MW,HOH,39,16.31032736125713,9.765170948050338,12.798607179750128
OW,HOH,40,16.37311,12.87594,9.63213
HW1,HOH,40,16.38486430401793,13.545448579633383,8.948125832882326
HW2,HOH,40,16.572850148500443,12.060179017678465,9.172921685834385
MW,HOH,40,16.40018384160292,12.857217927920678,9.485785009537151
OW,HOH,41,14.04646,14.01471,8.58016
HW1,HOH,41,14.289805590496826,14.924658761594161,8.40982866125401
HW2,HOH,41,14.529256722132494,13.510547744828177,7.925212338458879
MW,HOH,41,14.139414976923554,14.066655568636259,8.47451433097211
OW,HOH,42,10.25237,15.71263,10.25237
HW1,HOH,42,10.05473688998121,14.887729685459258,9.808837808727617
HW2,HOH,42,9.405761706869644,16.152588131541624,10.329282852588557
MW,HOH,42,10.11869450162438,15.663352756248676,10.20543830138615
OW,HOH,43,9.64929,16.31571,12.8937
HW1,HOH,43,9.301719326756405,17.106793552455787,12.481850703855258
